Yr,Rnd,Pick,DP,DP Normalizado,Tm,Tm #,Tm # Normalizado,Player,Pos,Pos #,Pos # Normalizado,Age,Age Normalizado,To,College/Univ,College #,College # Norm,Conference,C#,C# Norm,Grade,SPORQ,SPORQ Normalizado,CarAV,AvgAV (NO SIRVE),Alt1AvgAV,Alt1AAV Cat,Alt2AvgAV,Alt2AAV Cat,AAV 5Cat
2018,1,1,1,0,CLE,22,"0,6666666667",Baker Mayfield\MayfBa00,QB,0,0,23,"0,5",2018,Oklahoma,38,"0,2389937107",Big12,4,"0,2857142857","0,5607734807","168,3686169","0,3744967509",10,10,10,2,10,2,3
2018,1,3,1,0,NYJ,9,"0,2727272727",Sam Darnold\DarnSa00,QB,0,0,21,"0,1666666667",2018,USC,1,"0,006289308176",PAC12,0,0,"0,8259668508","159,4974912","0,2777725312",7,7,7,1,7,1,2
2018,1,5,1,0,DEN,21,"0,6363636364",Bradley Chubb\ChubBr00,DE,1,"0,07142857143",22,"0,3333333333",2018,North Carolina St.,35,"0,2201257862",ACC,2,"0,1428571429","0,9143646409","202,9789116","0,7518619083",8,8,8,1,8,1,2
2018,1,6,1,0,IND,0,0,Quenton Nelson\NelsQu00,G,9,"0,6428571429",22,"0,3333333333",2018,Notre Dame,15,"0,09433962264",IND,7,"0,5","0,9198895028","192,7236003","0,6400455486",14,14,14,2,14,2,4
2018,1,7,1,0,BUF,4,"0,1212121212",Josh Allen\AlleJo02,QB,0,0,22,"0,3333333333",2018,Wyoming,123,"0,7735849057",MW,5,"0,3571428571","0,5220994475","186,809941","0,5755673639",6,6,6,1,6,1,2
2018,1,10,1,0,ARI,28,"0,8484848485",Josh Rosen\RoseJo01,QB,0,0,21,"0,1666666667",2018,UCLA,81,"0,5094339623",PAC12,0,0,"0,6022099448","172,0953853","0,4151306882",2,2,2,0,2,0,0
2018,1,14,2,"0,1111111111",NOR,31,"0,9393939394",Marcus Davenport\DaveMa00,DE,1,"0,07142857143",22,"0,3333333333",2018,Texas-San Antonio,157,"0,9874213836",CUSA,11,"0,7857142857","0,546961326","201,0382832","0,7307027258",1,1,1,0,1,0,0
2018,1,15,2,"0,1111111111",OAK,30,"0,9090909091",Kolton Miller\MillKo00,T,10,"0,7142857143",22,"0,3333333333",2018,UCLA,81,"0,5094339623",PAC12,0,0,"0,4944751381","203,6529331","0,7592109422",7,7,7,1,7,1,2
2018,1,18,2,"0,1111111111",GNB,18,"0,5454545455",Jaire Alexander\AlexJa00,CB,6,"0,4285714286",21,"0,1666666667",2018,Louisville,111,"0,6981132075",ACC,2,"0,1428571429","0,5580110497","194,0873379","0,6549147387",5,5,5,1,5,1,1
2018,1,24,3,"0,2222222222",CAR,3,"0,09090909091",D.J. Moore\MoorD.00,WR,2,"0,1428571429",21,"0,1666666667",2018,Maryland,141,"0,8867924528",Big10,6,"0,4285714286","0,5110497238","206,6975679","0,7924073972",8,8,8,1,8,1,2
2018,1,25,3,"0,2222222222",BAL,24,"0,7272727273",Hayden Hurst\HursHa00,TE,11,"0,7857142857",25,"0,8333333333",2018,South Carolina,4,"0,0251572327",SEC,1,"0,07142857143","0,5220994475","190,0978178","0,6114159505",1,1,1,0,1,0,0
2018,1,26,3,"0,2222222222",ATL,29,"0,8787878788",Calvin Ridley\RidlCa00,WR,2,"0,1428571429",23,"0,5",2018,Alabama,80,"0,5031446541",SEC,1,"0,07142857143","0,6602209945","164,2104916","0,3291596157",7,7,7,1,7,1,2
2018,1,29,3,"0,2222222222",JAX,23,"0,696969697",Taven Bryan\BryaTa00,DT,4,"0,2857142857",22,"0,3333333333",2018,Florida,51,"0,320754717",SEC,1,"0,07142857143","0,6464088398","204,6976995","0,7706023054",2,2,2,0,2,0,0
2018,1,30,3,"0,2222222222",MIN,1,"0,0303030303",Mike Hughes\HughMi00,CB,6,"0,4285714286",21,"0,1666666667",2018,Central Florida,34,"0,213836478",AA,3,"0,2142857143","0,5386740331","190,8793914","0,6199376533",2,2,2,0,2,0,0
2018,2,33,4,"0,3333333333",CLE,22,"0,6666666667",Austin Corbett\CorbAu00,C,12,"0,8571428571",23,"0,5",2018,Nevada,54,"0,3396226415",MW,5,"0,3571428571","0,4917127072","180,2540831","0,5040871188",1,1,1,0,1,0,0
2018,2,34,4,"0,3333333333",NYG,20,"0,6060606061",Will Hernandez\HernWi00,G,9,"0,6428571429",23,"0,5",2018,Texas-El Paso,154,"0,9685534591",CUSA,11,"0,7857142857","0,5828729282","184,1381132","0,5464357218",7,7,7,1,7,1,2
2018,2,35,4,"0,3333333333",CLE,22,"0,6666666667",Nick Chubb\ChubNi00,RB,3,"0,2142857143",22,"0,3333333333",2018,Georgia,23,"0,1446540881",SEC,1,"0,07142857143","0,4917127072","206,4951572","0,7902004601",6,6,6,1,6,1,2
2018,2,37,4,"0,3333333333",IND,0,0,Braden Smith\SmitBr06,G,9,"0,6428571429",22,"0,3333333333",2018,Auburn,56,"0,3522012579",SEC,1,"0,07142857143","0,4613259669","197,3095711","0,6900475959",6,6,6,1,6,1,2
2018,2,39,4,"0,3333333333",CHI,11,"0,3333333333",James Daniels\DaniJa01,C,12,"0,8571428571",20,0,2018,Iowa,12,"0,07547169811",Big10,6,"0,4285714286","0,5580110497","197,087405","0,6876252604",5,5,5,1,5,1,1
2018,2,40,4,"0,3333333333",DEN,21,"0,6363636364",Courtland Sutton\SuttCo00,WR,2,"0,1428571429",22,"0,3333333333",2018,SMU,36,"0,2264150943",AA,3,"0,2142857143","0,5138121547","197,219887","0,6890697465",5,5,5,1,5,1,1
2018,2,41,4,"0,3333333333",TEN,12,"0,3636363636",Harold Landry\LandHa00,OLB,5,"0,3571428571",22,"0,3333333333",2018,Boston Col.,3,"0,01886792453",ACC,2,"0,1428571429","0,591160221","202,8206236","0,7501360526",3,3,3,0,3,0,1
2018,2,42,4,"0,3333333333",MIA,27,"0,8181818182",Mike Gesicki\GesiMi00,TE,11,"0,7857142857",22,"0,3333333333",2018,Penn St.,61,"0,3836477987",Big10,6,"0,4285714286","0,5276243094","218,9147282","0,9256143132",2,2,2,0,2,0,0
2018,2,43,4,"0,3333333333",DET,14,"0,4242424242",Kerryon Johnson\JohnKe06,RB,3,"0,2142857143",21,"0,1666666667",2018,Auburn,56,"0,3522012579",SEC,1,"0,07142857143","0,5027624309","192,8249297","0,6411503697",5,5,5,1,5,1,1
2018,2,45,4,"0,3333333333",GNB,18,"0,5454545455",Josh Jackson\JackJo01,CB,6,"0,4285714286",22,"0,3333333333",2018,Iowa,12,"0,07547169811",Big10,6,"0,4285714286","0,5497237569","190,594513","0,616831549",4,4,4,0,4,0,1
2018,2,46,4,"0,3333333333",KAN,5,"0,1515151515",Breeland Speaks\SpeaBr00,DE,1,"0,07142857143",22,"0,3333333333",2018,Mississippi,50,"0,3144654088",SEC,1,"0,07142857143","0,4337016575","184,8328768","0,5540109123",3,3,3,0,3,0,1
2018,2,47,4,"0,3333333333",ARI,28,"0,8484848485",Christian Kirk\KirkCh01,WR,2,"0,1428571429",21,"0,1666666667",2018,Texas A&M,70,"0,4402515723",SEC,1,"0,07142857143","0,5027624309","177,9273262","0,4787178756",4,4,4,0,4,0,1
2018,2,50,5,"0,4444444444",DAL,2,"0,06060606061",Connor Williams\WillCo00,T,10,"0,7142857143",21,"0,1666666667",2018,Texas,74,"0,465408805",Big12,4,"0,2857142857","0,5138121547","190,058266","0,6109847068",4,4,4,0,4,0,1
2018,2,53,5,"0,4444444444",TAM,19,"0,5757575758",M.J. Stewart\StewM.00,CB,6,"0,4285714286",22,"0,3333333333",2018,North Carolina,8,"0,05031446541",ACC,2,"0,1428571429","0,4723756906","181,6345937","0,5191391894",2,2,2,0,2,0,0
2018,2,60,5,"0,4444444444",PIT,15,"0,4545454545",James Washington\WashJa00,WR,2,"0,1428571429",22,"0,3333333333",2018,Oklahoma St.,109,"0,6855345912",Big12,4,"0,2857142857","0,4834254144","184,2426368","0,5475753701",2,2,2,0,2,0,0
