Yr,Rnd,Pick,Draft Position,DP Normalizado,Tm,Tm #,Tm # Normalizado,Player,Pos,Pos #,Pos # Normalizado,Age,Age Normalizado,CarAV,AvgAV,AvgAV Categorizado,College/Univ,College #,College # Normalizado,Conference,Conference #,Conference # Norm,NFL.com Grade,SPORQ,SPORQ Normalizado
2012,1,1,1,"0,0000000000",IND,0,"0,0000000000",Andrew Luck\LuckAn00,QB,0,"0,0000000000",22,"0,3333333333",59,"8,4285714286",4,Stanford,0,"0,0000000000",PAC12,0,"0,0000000000","1,0000000000","198,7122297000","0,7053400679"
2012,1,4,1,"0,0000000000",MIN,1,"0,0303030303",Matt Kalil\KaliMa00,T,10,"0,7142857143",23,"0,5000000000",40,"5,7142857143",3,USC,1,"0,0063694268",PAC12,0,"0,0000000000","0,9459459459","191,1893205000","0,6233158839"
2012,1,6,1,"0,0000000000",DAL,2,"0,0606060606",Morris Claiborne\ClaiMo00,DB,6,"0,4285714286",22,"0,3333333333",20,"2,8571428571",1,LSU,2,"0,0127388535",SEC,1,"0,0769230769","0,9009009009","180,3213145000","0,5048192625"
2012,1,9,1,"0,0000000000",CAR,3,"0,0909090909",Luke Kuechly\KuecLu00,LB,5,"0,3571428571",21,"0,1666666667",73,"10,4285714286",4,Boston Col.,3,"0,0191082803",ACC,2,"0,1538461538","0,8918918919","207,7883388000","0,8042991837"
2012,1,10,1,"0,0000000000",BUF,4,"0,1212121212",Stephon Gilmore\GilmSt00,DB,6,"0,4285714286",21,"0,1666666667",29,"4,1428571429",2,South Carolina,4,"0,0254777070",SEC,1,"0,0769230769","0,8234234234","192,7393500000","0,6402162481"
2012,1,11,2,"0,1111111111",KAN,5,"0,1515151515",Dontari Poe\PoexDo00,DT,4,"0,2857142857",22,"0,3333333333",47,"6,7142857143",3,Memphis,5,"0,0318471338",AA,3,"0,2307692308","0,8558558559","205,2011403000","0,7760903033"
2012,1,12,2,"0,1111111111",PHI,6,"0,1818181818",Fletcher Cox\CoxxFl00,DT,4,"0,2857142857",21,"0,1666666667",56,"8,0000000000",4,Mississippi St.,6,"0,0382165605",SEC,1,"0,0769230769","0,8648648649","185,0825878000","0,5567326309"
2012,1,14,2,"0,1111111111",STL,7,"0,2121212121",Michael Brockers\BrocMi00,DT,4,"0,2857142857",21,"0,1666666667",38,"5,4285714286",3,LSU,2,"0,0127388535",SEC,1,"0,0769230769","0,8198198198","177,5378542000","0,4744704900"
2012,1,15,2,"0,1111111111",SEA,8,"0,2424242424",Bruce Irvin\IrviBr00,DE,1,"0,0714285714",24,"0,6666666667",35,"5,0000000000",3,West Virginia,7,"0,0445859873",Big12,4,"0,3076923077","0,6936936937","207,4695173000","0,8008229922"
2012,1,16,2,"0,1111111111",NYJ,9,"0,2727272727",Quinton Coples\CoplQu00,DE,1,"0,0714285714",22,"0,3333333333",19,"2,7142857143",1,North Carolina,8,"0,0509554140",ACC,2,"0,1538461538","0,8378378378","183,6022511000","0,5405921450"
2012,1,18,2,"0,1111111111",SDG,10,"0,3030303030",Melvin Ingram\IngrMe00,DE,1,"0,0714285714",23,"0,5000000000",33,"4,7142857143",2,South Carolina,4,"0,0254777070",SEC,1,"0,0769230769","0,8828828829","198,7160270000","0,7053814708"
2012,1,19,2,"0,1111111111",CHI,11,"0,3333333333",Shea McClellin\McClSh00,DE,1,"0,0714285714",23,"0,5000000000",17,"2,4285714286",1,Boise St.,9,"0,0573248408",MW,5,"0,3846153846","0,7747747748","194,2224691000","0,6563870712"
2012,1,20,2,"0,1111111111",TEN,12,"0,3636363636",Kendall Wright\WrigKe01,WR,2,"0,1428571429",22,"0,3333333333",28,"4,0000000000",2,Baylor,10,"0,0636942675",Big12,4,"0,3076923077","0,8468468468","190,8280546000","0,6193769103"
