Tm # Normalizado,Pos # Normalizado,Age Normalizado,Alt1AAV Cat,C# Norm,Grade,SPORQ Normalizado
0,0,0.3333333333,2,0,1,0.705341152
0.0303030303,0.7142857143,0.5,1,0,0.9459459459,0.6233168919
0.06060606061,0.4285714286,0.3333333333,0,0.07142857143,0.9009009009,0.5048201605
0.09090909091,0.3571428571,0.1666666667,2,0.1428571429,0.8918918919,0.8043003596
0.1212121212,0.4285714286,0.1666666667,1,0.07142857143,0.8234234234,0.6402172717
0.1515151515,0.2857142857,0.3333333333,1,0.2142857143,0.8558558559,0.776091453
0.1818181818,0.2857142857,0.1666666667,2,0.07142857143,0.8648648649,0.5567335771
0.2121212121,0.2857142857,0.1666666667,1,0.07142857143,0.8198198198,0.4744713598
0.2424242424,0.07142857143,0.6666666667,1,0.2857142857,0.6936936937,0.8008241648
0.2727272727,0.07142857143,0.3333333333,1,0.1428571429,0.8378378378,0.5405930762
0.303030303,0.07142857143,0.5,1,0.07142857143,0.8828828829,0.7053825549
0.3333333333,0.07142857143,0.5,0,0.3571428571,0.7747747748,0.6563881098
0.3636363636,0.1428571429,0.3333333333,1,0.2857142857,0.8468468468,0.6193779146
0.3939393939,0.07142857143,0.3333333333,1,0.1428571429,0.7693693694,0.7127603266
0.4242424242,0.7142857143,0.5,1,0.4285714286,0.8558558559,0.3902425198
0.4545454545,0.6428571429,0.3333333333,1,0,0.9189189189,0.5292761954
0.4848484848,0.07142857143,0.3333333333,1,0.4285714286,0.8018018018,0.6282642629
0.5151515152,0.6428571429,0.3333333333,1,0.4285714286,0.7837837838,0.4983424499
0.5454545455,0.07142857143,0.3333333333,0,0,0.8108108108,0.829520746
0.0303030303,0.4285714286,0.5,1,0.5,0.7747747748,0.6311086015
0.5757575758,0.2142857143,0.5,1,0.3571428571,0.8018018018,0.7224410113
0.6060606061,0.2142857143,0.1666666667,0,0.1428571429,0.7837837838,0.8104401213
0.2121212121,0.1428571429,0.5,0,0.5714285714,0.7513513514,0.5710844032
0.6363636364,0.2857142857,0.3333333333,1,0.2142857143,0.1081081081,0.6801604251
0.6666666667,0.7142857143,0.5,1,0,0.7387387387,0.2755593302
0.696969697,0.3571428571,0.5,0,0.1428571429,0.8108108108,0.6805287079
0.2121212121,0.4285714286,0.5,1,0.6428571429,0.8018018018,0.5573381783
0.09090909091,0.6428571429,0.5,0,0.7142857143,0.7603603604,0.4973159491
0.1212121212,0.6428571429,0.3333333333,1,0.07142857143,0.8378378378,0.396578537
0.2727272727,0.1428571429,0.1666666667,0,0.1428571429,0.8018018018,0.7322520479
0.1515151515,0.7142857143,0.3333333333,0,0.4285714286,0.7387387387,0.3911667742
0.1818181818,0.3571428571,0.1666666667,1,0,0.6882882883,0.8454325455
0.303030303,0.2857142857,0.3333333333,0,0.2142857143,0.7657657658,0.7552602908
0.2121212121,0.2142857143,0.3333333333,0,0.2142857143,0.6342342342,0.4869317149
0.5454545455,0.2857142857,0.3333333333,0,0.4285714286,0.7747747748,0.5713466136
0.4545454545,0.7142857143,0.3333333333,0,0.4285714286,0.8018018018,0.3956672204
0.5757575758,0.3571428571,0.3333333333,1,0.4285714286,0.8108108108,0.656677791
0.1818181818,0.07142857143,0.6666666667,0,0.7857142857,0.7747747748,0.5785470382
0.7272727273,0.7142857143,0.5,1,0.2857142857,0.7477477477,0.512797412
0.7575757576,0.2142857143,0.3333333333,0,0,0.5765765766,0.6085923662
0.5454545455,0.4285714286,0.3333333333,1,0.07142857143,0.5801801802,0.582921627
0.6060606061,0.1428571429,0.1666666667,1,0.07142857143,0.8018018018,0.4780335639
0.1515151515,0.7142857143,0.3333333333,1,0.8571428571,0.9459459459,0.6546964434
0.696969697,0.7142857143,0.1666666667,0,0.07142857143,0.9693693694,0.493925901
0.8181818182,0.07142857143,0.5,0,0,0.9369369369,0.6635356688
0.1818181818,0.7142857143,0.5,1,0.2857142857,0.9261261261,0.8030817389
0.6666666667,0.3571428571,0.3333333333,0,0.07142857143,0.9243243243,0.7586819573
0.8484848485,0.6428571429,0.5,0,0.1428571429,0.818018018,0.5283311332
0.2121212121,0.1428571429,0.5,0,0.2857142857,0.8990990991,0.4585324635
0.2727272727,0.4285714286,0.1666666667,0,0.07142857143,0.9315315315,0.5929905519
0.9393939394,0.4285714286,0.3333333333,0,0.2857142857,0.8324324324,0.6693508993
0.7575757576,0.4285714286,0.1666666667,1,0.07142857143,0.7387387387,0.7861244081
0.6060606061,0.7142857143,0.5,0,0.1428571429,0.5675675676,0.5003218153
0.3333333333,0.6428571429,0.6666666667,1,0,0.6396396396,0.552841691
